<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Social.Sec.Inv,20200825,41450.00,43520.00,39380.00,42960.00,9171457889950,213486652,81666,D,41450.00,43520.00
Social.Sec.Inv,20200824,41450.00,45810.00,41450.00,41450.00,15886906120470,383256564,59076,D,43630.00,41450.00
Social.Sec.Inv,20200823,43630.00,43630.00,43630.00,43630.00,811189247950,18592465,14761,D,45920.00,43630.00
Social.Sec.Inv,20200822,48400.00,49830.00,45090.00,45920.00,9912091755160,215861599,85825,D,47460.00,45090.00
Social.Sec.Inv,20200819,47460.00,47460.00,47460.00,47460.00,741004845000,15613250,25275,D,49950.00,47460.00
Social.Sec.Inv,20200818,53000.00,53010.00,48360.00,49950.00,22362919830420,447696113,220376,D,50900.00,48360.00
Social.Sec.Inv,20200817,50900.00,50900.00,50900.00,50900.00,3522112640800,69196712,28899,D,48480.00,50900.00
Social.Sec.Inv,20200816,49300.00,50000.00,46840.00,48480.00,7655615477410,157905712,77316,D,58780.00,47470.00
Social.Sec.Inv,20200812,58780.00,60000.00,58780.00,58780.00,4871473239400,82876368,76026,D,61870.00,58780.00
Social.Sec.Inv,20200811,61700.00,65800.00,59540.00,61870.00,5064935560410,81865872,37948,D,62670.00,62000.00
Social.Sec.Inv,20200805,62670.00,62670.00,60000.00,62670.00,3048574779280,48644941,11769,D,59690.00,62670.00
Social.Sec.Inv,20200804,58800.00,60380.00,54640.00,59690.00,14884992775200,249360663,174461,D,57510.00,60290.00
Social.Sec.Inv,20200803,57610.00,57610.00,54000.00,57510.00,23928966843460,416087090,211734,D,54870.00,57610.00
Social.Sec.Inv,20200802,54870.00,54870.00,54870.00,54870.00,9611517433260,175168898,20081,D,52260.00,54870.00
Social.Sec.Inv,20200801,52260.00,52260.00,52260.00,52260.00,1896439257180,36288543,10369,D,49780.00,52260.00
Social.Sec.Inv,20200729,48540.00,50960.00,46120.00,49780.00,8135149868150,163424246,71202,D,48540.00,50900.00
Social.Sec.Inv,20200728,49150.00,51560.00,46660.00,48540.00,17670632954850,364029625,209418,D,49110.00,47400.00
Social.Sec.Inv,20200727,49110.00,49110.00,49110.00,49110.00,11429617863510,232735041,22173,D,46780.00,49110.00
Social.Sec.Inv,20200726,46780.00,46780.00,46780.00,46780.00,10237510063640,218843738,22141,D,44560.00,46780.00
Social.Sec.Inv,20200725,44560.00,44560.00,44560.00,44560.00,9707406026000,217850225,20851,D,42440.00,44560.00
Social.Sec.Inv,20200722,42440.00,42440.00,42440.00,42440.00,1314045317000,30962425,6863,D,40420.00,42440.00
Social.Sec.Inv,20200721,40510.00,40510.00,38590.00,40420.00,13836560770460,342284555,101494,D,38590.00,40510.00
Social.Sec.Inv,20200719,38590.00,38590.00,38590.00,38590.00,2859398483430,74096877,11696,D,36760.00,38590.00
Social.Sec.Inv,20200718,35990.00,37720.00,34140.00,36760.00,7047559956300,191737727,76115,D,35930.00,37290.00
Social.Sec.Inv,20200715,37000.00,37340.00,33800.00,35930.00,18982612783870,528324094,187692,D,35570.00,35880.00
Social.Sec.Inv,20200714,35570.00,35570.00,33880.00,35570.00,8350302799400,234756920,25093,D,33880.00,35570.00
Social.Sec.Inv,20200713,33880.00,33880.00,33880.00,33880.00,7591990720160,224084732,14758,D,32270.00,33880.00
Social.Sec.Inv,20200712,32270.00,32270.00,32270.00,32270.00,6069945016730,188098699,8234,D,30740.00,32270.00
Social.Sec.Inv,20200711,30740.00,30740.00,30740.00,30740.00,617721160720,20095028,7750,D,29280.00,30740.00
Social.Sec.Inv,20200708,29280.00,29280.00,29280.00,29280.00,6422416036800,219344810,33462,D,27890.00,29280.00
Social.Sec.Inv,20200701,28080.00,28080.00,28080.00,27890.00,128567368800,4578610,3679,D,26750.00,28080.00
Social.Sec.Inv,20200630,26750.00,26750.00,26750.00,26750.00,550595464000,20583008,23633,D,25480.00,26750.00
Social.Sec.Inv,20200629,24700.00,25890.00,24000.00,25480.00,2557006432280,100371980,35598,D,24660.00,25890.00
Social.Sec.Inv,20200628,24840.00,24840.00,23670.00,24660.00,7052994930670,285986429,74278,D,23660.00,24840.00
Social.Sec.Inv,20200627,23660.00,23660.00,23660.00,23660.00,1290347667700,54537095,22629,D,22540.00,23660.00
Social.Sec.Inv,20200624,21500.00,22950.00,21400.00,22540.00,3965322160940,175939938,50622,D,21860.00,22950.00
Social.Sec.Inv,20200623,22020.00,22020.00,20980.00,21860.00,4165351654470,190560123,47854,D,20980.00,21240.00
Social.Sec.Inv,20200622,20980.00,20980.00,20980.00,20980.00,1586684734140,75628443,16537,D,19990.00,20980.00
Social.Sec.Inv,20200621,20020.00,20020.00,19000.00,19990.00,3975834569470,198851843,42132,D,19070.00,20020.00
Social.Sec.Inv,20200620,18510.00,19220.00,18500.00,19070.00,4152073007830,217678331,65634,D,18310.00,19220.00
Social.Sec.Inv,20200616,18100.00,18900.00,17610.00,18310.00,5236225992940,285919886,98688,D,18100.00,18490.00
Social.Sec.Inv,20200615,18300.00,18620.00,17690.00,18100.00,3780207103330,208839124,72745,D,17830.00,17820.00
Social.Sec.Inv,20200614,18570.00,18580.00,17510.00,17830.00,4989169542810,279785876,104109,D,18430.00,17940.00
Social.Sec.Inv,20200613,18440.00,18850.00,17250.00,18430.00,4448549904090,241425631,103694,D,18156.00,18340.00
Social.Sec.Inv,20200610,18065.00,18608.00,17801.00,18156.00,5051507275311,278226446,108169,D,18101.00,18111.00
Social.Sec.Inv,20200609,18200.00,18996.00,17606.00,18101.00,4610674517269,254714762,99272,D,18276.00,17950.00
Social.Sec.Inv,20200608,17876.00,18767.00,16981.00,18276.00,7562975405470,413819700,137936,D,17874.00,17930.00
Social.Sec.Inv,20200607,17876.00,17876.00,17700.00,17874.00,5151597210711,288209600,65181,D,17025.00,17876.00
Social.Sec.Inv,20200606,17025.00,17025.00,17025.00,17025.00,1262709246600,74167944,28005,D,16215.00,17025.00
Social.Sec.Inv,20200602,16189.00,16290.00,15911.00,16215.00,2985642215792,184130376,60977,D,15515.00,16290.00
Social.Sec.Inv,20200601,15500.00,15700.00,15100.00,15515.00,2873334421635,185194007,64933,D,15023.00,15669.00
Social.Sec.Inv,20200531,15089.00,15868.00,14358.00,15023.00,2137017164439,142247680,50397,D,15113.00,15072.00
Social.Sec.Inv,20200530,15113.00,15113.00,15113.00,15113.00,916628854953,60651681,15565,D,14394.00,15113.00
Social.Sec.Inv,20200527,14394.00,14394.00,14394.00,14394.00,1171583710236,81393894,24725,D,13709.00,14394.00
Social.Sec.Inv,20200526,13709.00,14327.00,13709.00,13709.00,382858000000,27927529,6773,D,14430.00,13709.00
Social.Sec.Inv,20200523,14450.00,14800.00,14327.00,14430.00,3374834077845,233868755,82348,D,15081.00,14327.00
Social.Sec.Inv,20200520,14870.00,16000.00,14850.00,15081.00,4587465183472,304185319,153165,D,15273.00,14999.00
Social.Sec.Inv,20200519,15430.00,15873.00,14888.00,15273.00,5219103638097,341719786,113983,D,15118.00,15160.00
Social.Sec.Inv,20200518,15118.00,15118.00,15118.00,15118.00,842439695276,55724282,22446,D,14399.00,15118.00
Social.Sec.Inv,20200517,14034.00,15510.00,14034.00,14399.00,4392906957521,305079856,116632,D,14772.00,14771.00
Social.Sec.Inv,20200516,15600.00,15600.00,14771.00,14772.00,852769917483,57729745,16498,D,15548.00,14771.00
Social.Sec.Inv,20200513,15550.00,17140.00,15508.00,15548.00,7357795218762,473223138,180257,D,16324.00,15600.00
Social.Sec.Inv,20200512,16744.00,16744.00,15150.00,16324.00,11868199052347,727044963,226166,D,15947.00,15600.00
Social.Sec.Inv,20200511,15947.00,15947.00,15947.00,15947.00,565640265417,35470011,12824,D,15188.00,15947.00
Social.Sec.Inv,20200510,15188.00,15188.00,15188.00,15188.00,652551463156,42964937,19285,D,14465.00,15188.00
Social.Sec.Inv,20200505,13930.00,14626.00,13930.00,14465.00,2307919814364,159556314,48485,D,13267.00,14626.00
Social.Sec.Inv,20200503,13267.00,13267.00,13267.00,13267.00,138556408696,10443688,5132,D,12636.00,13267.00
Social.Sec.Inv,20200502,12636.00,12636.00,12636.00,12636.00,128380787028,10159923,5500,D,12035.00,12636.00
Social.Sec.Inv,20200429,12045.00,12045.00,12045.00,12031.00,145144875810,12050218,6238,D,11472.00,12045.00
Social.Sec.Inv,20200428,11472.00,11472.00,11472.00,11472.00,179581494912,15653896,7313,D,10926.00,11472.00
Social.Sec.Inv,20200427,11004.00,11004.00,11004.00,10926.00,115669437324,10511581,5664,D,10480.00,11004.00
Social.Sec.Inv,20200426,10528.00,10528.00,10528.00,10480.00,117392074464,11150463,5678,D,10027.00,10528.00
